filename,contains_nda,contains_termination,contains_indemnity,contains_force_majeure,contains_governing_law,contains_arbitration,contains_confidentiality,contains_data_protection
contracts/contract10.txt,Present,Present,Present,Absent,Absent,Present,Absent,Present
contracts/contract15.txt,Absent,Present,Absent,Present,Absent,Absent,Absent,Absent
contracts/contract03.txt,Absent,Absent,Present,Absent,Absent,Present,Absent,Present
contracts/contract14.txt,Present,Absent,Present,Present,Absent,Absent,Present,Absent
contracts/contract09.txt,Absent,Absent,Absent,Absent,Present,Present,Present,Present
contracts/contract04.txt,Present,Present,Absent,Present,Present,Absent,Present,Present
contracts/contract11.txt,Absent,Present,Present,Present,Present,Present,Absent,Present
contracts/contract05.txt,Present,Absent,Present,Present,Absent,Present,Present,Present
contracts/contract16.txt,Absent,Present,Absent,Present,Present,Absent,Absent,Present
contracts/contract13.txt,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present
contracts/contract18.txt,Present,Absent,Absent,Absent,Absent,Present,Present,Absent
contracts/contract02.txt,Absent,Present,Absent,Present,Present,Present,Absent,Absent
contracts/contract12.txt,Absent,Absent,Present,Present,Present,Present,Present,Absent
contracts/contract06.txt,Present,Absent,Absent,Absent,Present,Absent,Present,Present
contracts/contract17.txt,Absent,Absent,Present,Present,Absent,Present,Absent,Absent
contracts/contract01.txt,Present,Absent,Present,Absent,Present,Present,Absent,Present
contracts/contract08.txt,Absent,Present,Absent,Present,Absent,Present,Absent,Present
contracts/contract20.txt,Present,Present,Absent,Present,Present,Present,Present,Present
contracts/contract07.txt,Present,Present,Absent,Present,Absent,Absent,Present,Absent
contracts/contract19.txt,Absent,Present,Present,Absent,Absent,Absent,Absent,Present
contracts/contract24.txt,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present
contracts/contract23.txt,Absent,Present,Present,Absent,Present,Absent,Present,Present
contracts/contract21.txt,Absent,Present,Absent,Present,Present,Present,Present,Present
contracts/contract22.txt,Absent,Absent,Absent,Present,Present,Present,Present,Present
contracts/contract30.txt,Absent,Present,Present,Absent,Absent,Present,Present,Present
contracts/contract28.txt,Present,Absent,Absent,Present,Absent,Absent,Present,Absent
contracts/contract36.txt,Absent,Present,Absent,Present,Present,Absent,Absent,Present
contracts/contract26.txt,Present,Present,Present,Present,Present,Absent,Absent,Absent
contracts/contract37.txt,Present,Absent,Absent,Absent,Present,Absent,Absent,Present
contracts/contract27.txt,Absent,Present,Absent,Absent,Present,Present,Present,Present
contracts/contract33.txt,Present,Absent,Present,Present,Present,Absent,Absent,Absent
contracts/contract35.txt,Absent,Absent,Present,Present,Present,Present,Present,Absent
contracts/contract34.txt,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent
contracts/contract25.txt,Present,Absent,Present,Absent,Present,Present,Present,Absent
contracts/contract32.txt,Present,Present,Absent,Absent,Absent,Absent,Absent,Present
contracts/contract31.txt,Absent,Present,Absent,Absent,Absent,Present,Present,Present
contracts/contract29.txt,Absent,Absent,Absent,Present,Absent,Present,Present,Absent
contracts/contract38.txt,Absent,Present,Absent,Present,Absent,Absent,Present,Absent
contracts/contract40.txt,Present,Absent,Absent,Present,Absent,Present,Absent,Present
contracts/contract39.txt,Absent,Present,Present,Present,Absent,Absent,Present,Absent
contracts/contract42.txt,Absent,Absent,Present,Absent,Present,Present,Present,Present
contracts/contract45.txt,Present,Present,Absent,Absent,Present,Absent,Present,Absent
contracts/contract46.txt,Absent,Present,Present,Absent,Absent,Absent,Present,Present
contracts/contract44.txt,Absent,Absent,Present,Absent,Present,Present,Present,Present
contracts/contract41.txt,Absent,Absent,Absent,Present,Present,Present,Present,Present
contracts/contract47.txt,Present,Absent,Absent,Present,Absent,Present,Present,Absent
contracts/contract43.txt,Present,Present,Present,Absent,Present,Absent,Absent,Present
contracts/contract48.txt,Absent,Present,Present,Present,Present,Absent,Absent,Absent
contracts/contract50.txt,Absent,Present,Present,Absent,Present,Present,Present,Present
contracts/contract49.txt,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent
