filename,contract_type,contains_nda,contains_termination,contains_indemnity,contains_force_majeure,contains_data_protection
contracts_advanced/contract001.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract002.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract003.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract004.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract006.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract005.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract007.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract009.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract008.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract011.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract010.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract012.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract013.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract015.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract014.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract016.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract017.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract018.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract019.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract020.txt,Non-Disclosure Agreement (NDA) clause,Present,Absent,Absent,Absent,Absent
contracts_advanced/contract021.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract022.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract023.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract024.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract025.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract026.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract027.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract028.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract029.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract031.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract030.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract032.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract033.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract034.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract035.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract036.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract037.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract038.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract040.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract041.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract039.txt,Termination Clause,Absent,Present,Absent,Absent,Absent
contracts_advanced/contract042.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract043.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract044.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract045.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract046.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract048.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract047.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract050.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract049.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract051.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract052.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract053.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract055.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract054.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract056.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract057.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract059.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract058.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract060.txt,Indemnity Clause,Absent,Absent,Present,Absent,Absent
contracts_advanced/contract061.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract062.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract063.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract065.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract064.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract066.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
contracts_advanced/contract067.txt,Force Majeure Clause,Absent,Absent,Absent,Present,Absent
